t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
743001.0,1.944500000000005,3.6340999999999894,6.052999999999997,8.230500000000006,9.807999999999993,11.352900000000034,12.864700000000028,14.280300000000011,15.726199999999949,17.133099999999956,18.440999999999974,19.8399,21.226699999999994,22.609399999999994,23.996399999999994,25.339300000000037,26.68010000000004,28.010199999999998,29.31140000000005,30.609899999999982
743100.0,1.9414999999999623,3.628499999999974,6.044899999999984,8.220000000000027,9.794999999999959,11.337400000000002,12.846900000000005,14.260100000000023,15.703700000000026,17.108299999999986,18.413999999999987,19.810699999999997,21.195100000000025,22.571699999999964,23.960399999999993,25.301199999999994,26.639899999999955,27.96769999999998,29.26679999999999,30.56310000000002
744001.0,1.9373999999999683,3.6205999999999676,6.033299999999997,8.204799999999977,9.775900000000036,11.314700000000016,12.820500000000038,14.230200000000025,15.670299999999997,17.07159999999999,18.373899999999992,19.76709999999997,21.14820000000003,22.52049999999997,23.90659999999997,25.244199999999978,26.579600000000028,27.90409999999997,29.19999999999999,30.492999999999995
744100.0,1.9343999999999824,3.6149999999999523,6.025199999999984,8.19440000000003,9.763000000000034,11.299300000000017,12.802700000000016,14.210099999999954,15.647899999999993,17.046899999999994,18.34699999999998,19.738,21.116800000000012,22.48610000000002,23.870600000000024,25.206200000000024,26.539499999999975,27.86190000000005,29.15560000000005,30.446399999999983
745001.0,1.9302999999999884,3.6071000000000026,6.013599999999997,8.179200000000037,9.743999999999971,11.276599999999974,12.776499999999999,14.180399999999963,15.614700000000028,17.01030000000003,18.30709999999999,19.69470000000001,21.070100000000025,22.435000000000002,23.817000000000007,25.14949999999999,26.4794,27.79849999999999,29.089,30.376599999999996
745100.0,1.9273000000000025,3.601600000000019,6.0055999999999585,8.168799999999976,9.73109999999997,11.261300000000006,12.758800000000008,14.160399999999981,15.592300000000023,16.98570000000001,18.28030000000001,19.665599999999984,21.03879999999998,22.401899999999955,23.781200000000013,25.111699999999985,26.43950000000001,27.756500000000017,29.04480000000001,30.33019999999999
746001.0,1.9232000000000085,3.5936999999999557,5.993999999999971,8.15360000000004,9.71210000000002,11.238699999999994,12.732600000000048,14.13069999999999,15.559199999999976,16.949299999999994,18.240499999999997,19.622500000000002,20.992200000000025,22.351999999999975,23.727800000000002,25.05510000000004,26.379599999999982,27.693399999999997,28.978499999999997,30.260699999999986
746100.0,1.9202999999999975,3.588200000000029,5.98599999999999,8.143299999999954,9.699299999999994,11.223500000000001,12.714999999999975,14.110799999999983,15.537000000000035,16.924800000000005,18.213900000000024,19.593600000000038,20.961100000000044,22.31880000000001,23.692099999999982,25.017499999999984,26.3399,27.6515,28.934499999999957,30.214500000000044
747001.0,1.9162000000000035,3.5803999999999974,5.974499999999978,8.128199999999993,9.680499999999995,11.201000000000022,12.689000000000021,14.081199999999967,15.503999999999962,16.888500000000022,18.174199999999985,19.550599999999974,20.91470000000004,22.269299999999987,23.63889999999998,24.961099999999988,26.280299999999954,27.588600000000042,28.86850000000004,30.145200000000045
747100.0,1.9132999999999925,3.5749000000000137,5.966600000000028,8.117999999999995,9.667699999999968,11.185800000000029,12.671400000000006,14.061399999999992,15.481899999999996,16.864100000000008,18.147699999999986,19.521799999999985,20.883700000000033,22.236199999999997,23.60329999999999,24.92360000000002,26.240700000000004,27.546899999999994,28.824600000000032,30.099199999999996
748001.0,1.9091999999999985,3.567100000000039,5.955100000000016,8.102899999999977,9.64889999999997,11.163400000000024,12.64549999999997,14.032000000000039,15.449000000000012,16.8279,18.10820000000001,19.479000000000042,20.83760000000001,22.186900000000037,23.550299999999993,24.867500000000007,26.181399999999996,27.48430000000002,28.758899999999983,30.03030000000001
748100.0,1.9062999999999874,3.5615999999999985,5.947200000000009,8.092700000000036,9.636199999999974,11.148300000000006,12.628000000000043,14.012200000000007,15.427000000000021,16.80370000000005,18.081699999999955,19.45029999999997,20.806700000000035,22.153899999999965,23.51490000000001,24.830100000000016,26.14190000000002,27.442800000000034,28.71519999999998,29.98449999999997
749001.0,1.9021999999999935,3.553799999999967,5.935699999999997,8.077699999999993,9.617500000000007,11.126000000000033,12.60209999999995,13.98290000000003,15.394299999999987,16.767600000000016,18.042400000000043,19.407600000000002,20.760699999999986,22.10480000000001,23.462099999999964,24.774299999999982,26.08280000000002,27.38050000000004,28.64979999999997,29.915800000000047
